ETC_20150317_000001	Kepa	케파
ETC_20150317_000002	Monster yang tidak begitu kuat, tapi bisa membuatmu menangis jika menyerangnya terburu-buru.	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 
ETC_20150317_000003	Large Kepa	대형 케파
ETC_20150317_000004	Terkadang ada banyak orang yang mencoba memakan Large Kepa, tolong hentikan kebiasaan itu.	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.
ETC_20150317_000005	Red Kepa	붉은 케파
ETC_20150317_000006	Kepa yang ini cukup unik, Red Kepa lebih mirip seperti Kepa biasa.	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.
ETC_20150317_000007	Poisoned Kepa	중독된 케파
ETC_20150317_000008	Monster	몬스터
ETC_20150317_000009	Hanaming	하밍
ETC_20150317_000010	Hanaming cukup mudah diatasi sebagai lawan,tapi kulitnya sangat keras.	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.
ETC_20150317_000011	Chinency	치넨시
ETC_20150317_000012	Monster yang memiliki perbedaan tampilan dengan stem tanaman karena mengalami perubahan bentuk.	보기와 달리 식물의 줄기가 변형된 몬스터입니다.
ETC_20150317_000013	Mutant Chinency	변이 치넨시
ETC_20150317_000014	Jukopus	유코푸스
ETC_20150317_000015	Struktur bagian dalam Jupokus adalah suatu penelitian yang belum teridentifikasikan.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.
ETC_20150317_000016	Blue Jukopus	푸른 유코푸스
ETC_20150317_000017	Gray Jukopus	회색 유코푸스
ETC_20150317_000018	Monster yang menyerang dengan berbagai teknik tergantung tingkat kedewasaannya.	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.
ETC_20150317_000019	Pokuborn	포쿠본
ETC_20150317_000020	Yellow Pokuborn	노란 포쿠본
ETC_20150317_000021	Blue Pokuborn	푸른 포쿠본
ETC_20150317_000022	Banyak hal yang harus diwaspadai dari mahluk ini, yang pasti jangan sampai diseruduk olehnya.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.
ETC_20150317_000023	Green Pokuborn	초록 포쿠본
ETC_20150317_000024	Setelah berubah menjadi monster, memiliki keuntungan dimana dagingnya bisa didapatkan.	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.
ETC_20150317_000025	Blue Pokubu	푸른 포쿠부
ETC_20150317_000026	Banshee	밴시
ETC_20150317_000027	Jiwa orang-orang yang telah menapakkan kakinya pada dunia iblis karena berbagai alasan dan menjadi Demon lalu muncul di dunia.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.
ETC_20150317_000028	Red Banshee	붉은 밴시
ETC_20150317_000029	Evil Spirit	사악한 망령
ETC_20150317_000030	Jiwa-jiwa yang tidak mendapatkan petunjuk dari Goddess  akan terlahir kembali untuk dikendalikan oleh Demon.	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.
ETC_20150317_000031	Large Banshee	대형 밴시
ETC_20150317_000032	Bee Hive	벌통
ETC_20150317_000033	Blue Bee Hive	푸른 벌통
ETC_20150317_000034	Gray Bee Hive	회색 벌통
ETC_20150317_000035	Red Bee Hive	붉은 벌통
ETC_20150317_000036	Bushspider	크루마보
ETC_20150317_000037	Merupakan monster hama raksasa yang menjadi lebih besar dengan berhabitatdi dalam hutan.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.
ETC_20150317_000038	Black Bushspider	검은 크루마보
ETC_20150317_000039	Red Bushspider	붉은 크루마보
ETC_20150317_000040	White Bushspider	하얀 크루마보
ETC_20150317_000041	Yellow Bushspider	노란 크루마보
ETC_20150317_000042	Disgusting Dionia	구역질나는 디오니아
ETC_20150317_000043	Dionia Poza	디오니아 포자
ETC_20150317_000044	Blue Fragaras	푸른 프라가라스
ETC_20150317_000045	Walau lebih besar ukurannya dibandingkan sebelum melakukan berubah bentuk, tidak terlalu banyak perbedaan. Tetapi sejak sebelumnya merupakan tumbuhan yang berbahaya.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.
ETC_20150317_000046	Black Fragaras	검은 프라가라스
ETC_20150317_000047	Red Fragaras	붉은 프라가라스
ETC_20150317_000048	Vubbe Fighter	부베 투사
ETC_20150317_000049	Blue Vubbe Fighter	푸른 부베 투사
ETC_20150317_000050	Red Vubbe fighter	붉은 부베 투사
ETC_20150317_000051	Tidak diketahui apakah Vubbe Fighter dilahirkan atau memang mempunyai bakat alam untuk bertarung.	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.
ETC_20150317_000052	Golem	골렘
ETC_20150317_000053	Gray Golem	회색 골렘
ETC_20150317_000054	Meduja	미듀쟈
ETC_20150317_000055	Beberapa orang mengatakan, bahwa dengan melalui meduja dapat melakukan kontak dengan jiwa-jiwa yang telah mati.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.
ETC_20150317_000056	Blue Meduja	푸른 미듀쟈
ETC_20150317_000057	Green Meduja	초록 미듀쟈
ETC_20150317_000058	Red Meduja	붉은 미듀쟈
