QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000002	Goddess Vakarine Statue	여신 바카리네의 상
QUEST_20150317_000003	Silahkan pilih territory.	지역을 선택해주세요.
QUEST_20150317_000004	Pilih	선택
QUEST_20150317_000005	Pilih item yang di inginkan.	아이템을 선택해주세요.
QUEST_20150317_000006	Pilih Grup	그룹 선택
QUEST_20150317_000007	Silahkan pilih cheat start group.	치트 스타트 그룹을 선택하세요.
QUEST_20150317_000008	Pilih Zone	존 선택
QUEST_20150317_000009	Silahkan pilih starting zone.	시작할 존을 선택하세요.
QUEST_20150317_000010	Pilih Advancement	전직 선택
QUEST_20150317_000011	Silahkan pilih class	원하시는 직업을 선택하세요.
QUEST_20150317_000012	Bokor Master	보코르 마스터
QUEST_20150317_000013	Kamu ingin tahu tentang batu slate ini?  {nl} Aku akan memberikan penglihatan dari sang pembuat slate ini.	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.
QUEST_20150317_000014	Goddess Laima	여신 라이마
QUEST_20150317_000015	Seiring dengan waktu kamu melihat wahyu ini, akan memakan waktu yang panjang.  {nl} Aku adalah Laima,  Goddess of Fate and Wisdom.  {nl}	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}
QUEST_20150317_000016	Saat aku membuat wahyu ini sekitar 600 tahun lalu, Aku melihat banyak kesedihan dan kematian.  {nl} Jika kamu sudah melihat wahyu ini berarti semua yang aku ramalkan telah menjadi kenyataan.  {nl}	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}
QUEST_20150317_000017	Bencana yang pertama disebabkan oleh Demon, dan semua Goddess menghilang.  {nl}Aku sudah tahu akan semua ini dari awal dan mencoba untuk mencegahnya, namun kekuatanku tidak cukup.{nl}	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}
QUEST_20150317_000018	Aku melewati banyak mimpi demi mendapatkan jawaban.  {nl} Dan akhirnya aku memimpikan tentang dirimu.. The Savior.{nl}	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}
QUEST_20150317_000019	Namun bagaimanapun, mengetahui kekuatanku yang dapat meramal takdir, para Demon tidak akan membiarkanku begitu saja. Jadi aku harus bersembunyi agar dapat bertemu dirimu.{nl}	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}
QUEST_20150317_000020	Aku memutuskan untuk membagi diriku menjadi beberapa buah wahyu.  {nl}Menyembunyikan diriku di sekitar area kerajaan selama ribuan tahun. {nl}	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}
QUEST_20150317_000021	Demi dunia dan menghentikan para Demon,  {nl}Kamu harus menemukan seluruh wahyu melewati ruang dan waktu.{nl}	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.
QUEST_20150317_000022	Beban dari tugas yang suci ini mungkin akan cukup memberatkanmu.{nl}	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}
QUEST_20150317_000023	Namun, hanya kamu dan aku yang bisa menyelamatkan dunia.	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}
QUEST_20150317_000024	Aku telah memberikan wahyu berikutnya pada Paladin pertama. {nl}Aku akan menunggumu di taman yang berada di bukit.	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.
QUEST_20150317_000025	Akan datang pasukan iblis dan aku tidak bisa merasakannya.  {nl}Pasti, ini adalah wahyu asli dari Goddess Laima  .. Sungguh luar biasa.	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.
QUEST_20150317_000026	Baiklah, cepat pergi temui Sir Uska. {nl}Dia akan memberitahu kemana kamu harus pergi. {nl}Semoga Goddess bless menyertai takdirmu..	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..
QUEST_20150317_000027	Silahkan pilih smart gen yang di inginkan.	원하는 스마트젠을 선택하세요.
QUEST_20150317_000028	William	윌리엄
QUEST_20150317_000029	Semua jadi 100 Silver. {nl}Ini sudah cukup murah dibandingkan harus menuju ke sekumpulan monster.	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.
QUEST_20150317_000030	Cyneburg	캔버그
QUEST_20150317_000031	Totalnya jadi 100 Silver. {nl}Ini semua termasuk biaya operasi, usaha dan biaya lain-lain.	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.
QUEST_20150317_000032	Hey..tunggu dulu. {nl}Kamu butuh lebih dari itu..	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..
QUEST_20150317_000033	Ini tidak baik. {nl}Meskipun kamu seorang Savior, Aku tidak bisa bekerja untukmu.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.
QUEST_20150317_000034	Wandering Merchant	방랑 상인
QUEST_20150317_000035	Aku sangat miskin, wandering merchant. {nl}Baiklah, karena kita sudah bertemu, apakah kamu mau melihat barang daganganku?	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?
QUEST_20150317_000036	Christina	크리스티나
QUEST_20150317_000037	Selamat datang kawan.  {nl} Apakah kamu mencari teman untuk bertualang?  {nl} Tidak ada Companion yang lebih baik dari mereka.	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.
QUEST_20150317_000038	Kamu dapat membuat companion membantu pertarunganmu atau melatihnya dengan special Attribute.  {nl} Jika hubungan kamu sudah sangat baik, kamu bisa membelikannya equipment yang keren.  {nl}	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}
QUEST_20150317_000039	Companion yang tumbuh dengan kasih sayang dari kamu akan memberi bonus stamina dan evasion pada masternya.  {nl} Bagaimana menurutmu? Bukankah Companion baik untukmu?	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?
QUEST_20150317_000040	Kamu membutuhkan key untuk box.	상자에 맞는 열쇠가 필요합니다.
QUEST_20150317_000041	Pilih Quest	퀘스트 선택
QUEST_20150317_000042	Modify Quest Status.	퀘스트 상태변경
QUEST_20150317_000043	Force Start?	강제 시작?
QUEST_20150317_000044	Items yang akan di hapus.	삭제할 아이템
QUEST_20150317_000045	Pilih tipe gen.	GenType 선택
QUEST_20150317_000046	Pilih Koordinat	좌표 선택
QUEST_20150317_000047	Knight Titas	기사 티타스
QUEST_20150317_000048	Jika begitu, temui Knight Commander Uska di Klaipeda.  {nl} Tapi sebelum itu, aku ingin memberitahu sesuatu, ikuti aku.	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.
QUEST_20150317_000049	Semoga aku punya sedikit waktu untuk istirahat..	잠시 쉴 틈이 있으면 좋겠군.. 
QUEST_20150317_000050	Sparnas.. {nl}Sangat sulit ditebak..	스파르나스..{nl}만만치 않은 상대..
QUEST_20150317_000051	Soldier Moody	병사 무디
QUEST_20150317_000052	Kita lanjutkan bicaranya setelah mengalahkan monster.	우선 이 몬스터를 처리하고 이야기하지요.
QUEST_20150317_000053	Bergabung dengan tim investigasi - Scott.	합동조사단 스캇
QUEST_20150317_000054	Aku menunggu hari dimana tim kita tidak dibutuhkan lagi.. {nl}Ah, Maksudku adalah hari yang damai. Haha.. {nl}	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}
