QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150317_000002	Serangan para monster menjadi lebih ganas. {nl} Aku bertekad untuk berhasil, tetapi Aku juga khawatir akan keselamatan kita.	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.
QUEST_LV_0200_20150317_000003	Tidak masalah - Aku siap mengorbankan nyawa Aku hari ini, atau mati dihari esok.	내일 죽을 몸이라면 오늘 목숨을 바쳐도 상관없습니다.
QUEST_LV_0200_20150317_000004	Commander Vacenin	지휘관 바세닌
QUEST_LV_0200_20150317_000005	Entah bagaimana, kita harus mengatasi persediaan dan kekuatan kita yang mulai melemah. {nl} Setelah kita dapat menyelesaikan masalah tersebut, barulah kita bisa menerobos hutan sedikit demi sedikit.	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.
QUEST_LV_0200_20150317_000006	Walau semuanya lelah, kita tidak boleh menyerah hingga Kateen Forest berhasil direbut kembali.	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.
QUEST_LV_0200_20150317_000007	Senior Officer Philipas	선임장교 필리파스
QUEST_LV_0200_20150317_000008	Aku mendambakan dunia yang damai. {nl} Untuk mencapainya, aku harus bekerja lebih keras.	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.
QUEST_LV_0200_20150317_000009	Aku akan melakukan apapun untuk merebut kembali hutan yang dikuasai para monster. {nl} Bahkan bila harus berkorban nyawa.	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.
QUEST_LV_0200_20150317_000010	Pasukan terdepan kita terdiri dari Monk khusus yang dipimpin Philip. {nl} Mereka akan mematuhi perintah Philip apapun yang terjadi.	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.
QUEST_LV_0200_20150317_000011	Hiduplah dengan anggapan bahwa setiap momen adalah saat-saat terkahir kita. {nl} Belajarlah dari masa lalu dan gunakan itu sebagai keunggulan kita.	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.
QUEST_LV_0200_20150317_000012	Officer Felix	장교 필릭스
QUEST_LV_0200_20150317_000013	Entrance of Kateen Forest terletak di zona yang sedikit lebih aman, namun sebisa mungkin jangan memasukinya lebih dalam.	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 왠간하면 포기하시오.
QUEST_LV_0200_20150317_000014	Weak Owl Sculpture	약한 부엉이 조각상
QUEST_LV_0200_20150317_000015	Kekuatanku perlahan melemah. {nl} Padahal di sana banyak jiwa-jiwa yang membutuhkan petunjuk...	제 힘은 점점 약해지고 있어요.{nl}아직도 인도해야 할 영혼이 많은데..
QUEST_LV_0200_20150317_000016	Scared Owl Sculpture	두려운 부엉이 조각상
QUEST_LV_0200_20150317_000017	Kekuatan suci dari hutan ini melemah. {nl} Apa yang akan terjadi kepada kita apabila kekuatan tersebut menghilang?!	숲의 신성한 힘이 약해지고 있어요.{nl}이젠 정말 어찌 되려나..
QUEST_LV_0200_20150317_000018	Ini sangat menakutkan. {nl} Hal Ini tidak pernah terjadi saat Goddess masih ada…	너무 무서워요.{nl}여신께서 계실 땐 이런 일은 없었는데..
QUEST_LV_0200_20150317_000019	Sincere Owl Sculpture	성실한 대장 부엉이
QUEST_LV_0200_20150317_000020	Hutan ini dikutuk... dan mengkonsumsi para Owl. {nl} Aku nyaris tidak dapat mengeluarkan semua keberanian dari yang lain.	이 숲은 부엉이를 잡아 먹는 무시무시한 숲입니다.{nl}용기만큼 절실한 게 없지요.
QUEST_LV_0200_20150317_000021	Semenjak pohon besar itu tumbuh secara tiba-tiba, hutan ini telah berubah menjadi tempat yang sangat menakutkan dan angker. {nl} Bahkan akar pohon itu memberikan rasa takut kepada siapa pun yang melihatnya.	거대한 나무가 솟아오르고 나서부터 이 숲은 끔찍하게 변했습니다.{nl}특히 나무뿌리 수정은 바라보고만 있어도 겁이 납니다.
QUEST_LV_0200_20150317_000022	Devoted Owl Sculpture	의지의 부엉이 조각상
QUEST_LV_0200_20150317_000023	Seseorang telah ditawan. {nl} Aku merasakan bahwa keberadaannya mulai menghilang...	누군가 또 잡아먹혔나봐요.{nl}제 동료의 기운 하나가 느껴지질 않네요.
QUEST_LV_0200_20150317_000024	Kekuatan suci yang diciptakan oleh Goddess belum sepenuhnya menghilang. {nl} Akankah kekuatan itu mampu menghentikan bencana ini? {nl}	여신께서 주신 신성력이 거의 남아있지 않아요.{nl}부서진 다음엔 어떻게 되는 걸까요?{nl}
QUEST_LV_0200_20150317_000025	Chief telah memberikan Aku kekuatan. {nl} Aku tidak akan takut.	대장님께서 나누어 주신 힘이에요.{nl}이젠 두려워하지 않을 겁니다.
QUEST_LV_0200_20150317_000026	Aku tidak akan takut lagi.{nl} Aku tak akan pernah dimangsa oleh para monster.	더 이상 두렵지 않아요.{nl}절대 잡아먹히지 않을 겁니다.
QUEST_LV_0200_20150317_000027	Painful Owl Sculpture	괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000028	Aku menderita setiap harinya. {nl} Mungkin, nanti Aku juga akan dimangsa oleh para monster.	하루하루가 정말 고통스러워요.{nl}아마 저도 곧 잡아먹히겠지요.
QUEST_LV_0200_20150317_000029	Hutan ini semakin dipenuhi dengan Demon. {nl} Dimanakah para Goddess?	숲이 점점 사악한 기운으로 물들어가요.{nl}여신께선 어디로 가신 걸까요?
QUEST_LV_0200_20150317_000030	Aku terpilih menjadi Chief... {nl} Aku akan berusaha sebaik mungkin untuk mengalahkan monster-monster.	대장님의 마음 잘 받았습니다.{nl}몬스터에게 지지 않도록 힘낼 겁니다.
QUEST_LV_0200_20150317_000031	Chief juga berjuang sampai seperti ini .. {nl} Jangan sampai Aku dimangsa sampai Goddess kembali.	대장님께서 이렇게 애써주시는데..{nl}여신께서 돌아오실 때까지 절대로 잡아먹히지 않을 거예요.
QUEST_LV_0200_20150317_000032	Subordinate Owl 3	부하 부엉이3
