QUEST_LV_0400_20161212_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타
QUEST_LV_0400_20161212_000002	Aku datang ke sini karena aku khawatir, namun aku tidak berani masuk ke sana sendiri.{nl}Itu sebabnya aku meminta bantuanmu.	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.
QUEST_LV_0400_20161212_000003	Aku tidak bisa sembarangan pergi kesana.{nl}Ada banyak monster yang menduduki tempat itu…	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..
QUEST_LV_0400_20161212_000004	Ada rumor mengenai Alembique Legend di antara pengungsi.{nl}Aku ingin tahu yang sebenarnya.	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.
QUEST_LV_0400_20161212_000005	{nl}Mungkin ada produk yang Alliance cari...{nl}Karena kamu akan menjelajahi cave, ini seperti mengenai dua Popolions dengan satu batu.	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.
QUEST_LV_0400_20161212_000006	{nl}Aku akan memberikan buku ini sebagai gantinya.{nl}Ini akan lebih baik daripada pergi tidak mengetahui apapun bukan?	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.
QUEST_LV_0400_20161212_000007	Priest Lintas sedang mengoreksi isi monumen.{nl}Proses ini membutuhkan waktu.	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.
QUEST_LV_0400_20161212_000008	Terima kasih, monumen telah diperbaiki.{nl}Kita harus memeriksa keadaan Priest Kidas dan Brunas.	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.
QUEST_LV_0400_20161212_000009	Bahkan dengan bantuan pencarian, flechette tidak dapat ditemukan dimanapun.{nl}Aku harus kembali ke master setelah menyelesaikan urusanku sedikit di sini.	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.
QUEST_LV_0400_20161212_000010	Aquilas	아퀼라스
QUEST_LV_0400_20161212_000011	Aku datang ke sini untuk belajar memanah namun aku hanya mendapat tugas mengambil anak panah yang telah berceceran...{nl}Jika aku tahu kalau aku hanya disuruh mencari anak panah. Aku tidak akan memulai perjalanan ini...{nl}	궁술을 배우려고 여기까지 따라왔건만 알려주는 건 별거 없고 화살을 찾으라니..{nl}화살 찾으러 다닌다는 사실만 알았어도 이런 고생길에 나서진 않았을 거야.. {nl}
QUEST_LV_0400_20161212_000012	Maksudku, ini semua karena Lydia Schaffen.{nl}Ia pasti telah membawa Flechette-nya atau ia telah menggunakannya untuk membunuh  Ghibulinas!	리디아 샤펜도 그렇지. {nl}플레세트인지 뭔지로 지부리나스를 죽였으면 화살을 수거해 가야지 그냥 두고가?
QUEST_LV_0400_20161212_000013	{nl}Tak perduli jika ia adalah seorang yang legendaris.{nl}Ia tidak tahu bagaimana cara menjaga barang-barangnya.	{nl}전설적인 사람이라고 추앙 받으면 뭐해.{nl}자기 물건도 소중히 안 다루는걸.
QUEST_LV_0400_20161212_000014	{nl}Aku tidak bisa mengerti master-ku.{nl}Aku tidak tahu apakah aku bisa dimaafkan bila aku menemukan Flechette atau apalah itu.	{nl}스승님도 참 이해 안돼.{nl}플레세트인지 뭔지를 찾으면 용서를 구할 수는 있는 거야?
QUEST_LV_0400_20161212_000015	{nl}Meskipun bila aku setuju ini penting... Aku masih tidak mengerti bagaimana melaporkan vegetasi menjadi begitu penting.{nl}Ugh... bukan jenis pekerjaan yang kusukai.	{nl}백 번 양보해도.. 찾으려는 화살은 안 찾고 식생이나 보고하라는 건 정말 이해가 안돼.{nl}으… 하기 싫어.
QUEST_LV_0400_20161212_000016	Aku akan sangat berterima kasih jika kamu memberikan bantuan apapun itu jenisnya.{nl}Pertama-tama, kamu bisa memberikanku beberapa Poppy Bracken, Aily Grass dan Pria Flowers.	도와준다면야 나야 좋지.{nl}일단 포피 고사리와 아일리 풀, 프리아 꽃잎을 모아줘.
QUEST_LV_0400_20161212_000017	{nl}Apa yang ingin mereka lakukan dengan legendary arrow?{nl}Aku pun tidak tahu pasti.	{nl}이게 전설의 화살이랑 무슨 상관이냐고?{nl}그건 나도 정말 궁금해.
QUEST_LV_0400_20161212_000018	Flechette bodoh atau apalah itu namanya…	플레세트인지 뭔지 참 내..
QUEST_LV_0400_20161212_000019	Mechen	메켄
QUEST_LV_0400_20161212_000020	Aku rasa Aquilas datang untuk melaporkannya...{nl}Tempat ini berbahaya karena para monster dan demon.	아퀼라스가 보고하러 온 줄 알았는데…{nl}이곳은 몬스터들 뿐만 아니라 마족들도 돌아다녀서 위험한 곳입니다.
QUEST_LV_0400_20161212_000021	{nl}Bagaimana kalau kita pergi jika kamu sudah tidak ada urusan lagi.	{nl}별 일이 없다면 어서 떠나시는 것이..
QUEST_LV_0400_20161212_000022	{nl}Ah?{nl}Ah, kau Revelator.	{nl}아..?{nl}오, 계시자님이시군요.
QUEST_LV_0400_20161212_000023	{nl}Tampaknya kamu ingin tahu seperti apa yang muridku dan aku lakukan di sini.{nl}Apakah kamu mendengar sesuatu dari Aquilas?	{nl}저와 제자들이 여기서 무엇을 하고 있는지 궁금하신 듯 합니다.{nl}아퀼라스에게서 혹시 들으신 것이 있으신지..
QUEST_LV_0400_20161212_000024	{nl}Oh, Aku anggota dari Astral Tower dan saudara adalah mantan pemimpinnya.{nl}Aku membuat kesalahan besar saat Ignas berusaha mengambil alih Astral Tower.	{nl}아, 전 별의 탑 단원이자 별의 탑 전 단장의 친동생입니다.{nl}이그나스가 별의 탑을 장악하는 과정에서 실수를 저지르고 말았지요.
QUEST_LV_0400_20161212_000025	{nl}Ignas tidak menyia-nyiakan kesempatan dan mengambil alih Astral Tower.{nl}Tentu saja, anggota lainnya tidak memandangku dengan ramah.	{nl}그리고 제 실수를 놓치지 않은 이그나스는 별의 탑을 장악하게 되었습니다.{nl}당연히 별의 탑 단원들은 저를 좋지 않게 보게 됐습니다.
QUEST_LV_0400_20161212_000026	{nl}Tidak peduli bagaimanapun aku memberitahu mereka bahwa itu adalah sebuah kekeliruan, mereka tidak mau mendengarkannya.	{nl}고의가 아니었음을 이야기 해도 단원들은 들어주지 않았고 모두 제게 등을 돌렸습니다.
QUEST_LV_0400_20161212_000027	{nl}Itulah mengapa aku memutuskan untuk mencoba menemukan Flechette milik Lydia Schaffen untuk menebus kesalahanku.	{nl}제 실수를 만회할 수 있는 방법을 찾다가.. {nl}리디아 샤펜의 전승 중 하나인 플레세트를 찾기로 결심했습니다.
QUEST_LV_0400_20161212_000028	{nl}Setidaknya mereka akan berpura-pura mendengarkan bila aku membawa kembali Flechette.{nl}Aku datang ke tempat ini karena aku yakin kalau Flechettenya berada didalam Ghibulinas Forest.	{nl}플레세트를 찾아 가면 단원들도 제 이야기를 들어줄 것이니까요.{nl}여러 가지 조사 끝에.. 지부리나스 숲에 플레세트가 있을 가능성이 높다고 판단했습니다.
QUEST_LV_0400_20161212_000029	{nl}Muridku dan aku sudah mencoba untuk mencari Flechette namun belum ada kemajuan.	{nl}그래서 제자들을 데리고 플레세트를 찾고 있지만 별다른 진척이 없군요.
QUEST_LV_0400_20161212_000030	Kamu sudah mengumpulkan semuanya.{nl}Terima kasih.	모아왔구나.{nl}고마워.
