QUEST_JOBSTEP_20150317_000001	Bokor. Kamu memilih jalan yang sulit. {nl}Ikuti instruksi pada Adventure Journal dan buat doll milikmu sendiri.	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.
QUEST_JOBSTEP_20150317_000002	Kamu hanya bisa mendapatkannya dari dirimu sendiri. {nl}Periksa Adventure Journal untuk tahu cara membuat doll. 	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.
QUEST_JOBSTEP_20150317_000003	Selamat, seorang Bokor baru telah terlahir. {nl}Saat pertama kali aku terpilih menjadi Bokor, Aku memulainya dengan membuat doll milikku sendiri. 	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}
QUEST_JOBSTEP_20150317_000004	Peltasta Master	펠타스타 마스터
QUEST_JOBSTEP_20150317_000005	Jika kamu ingin menerima ajaranku maka kamu harus membuktikan bahwa dirimu pantas.{nl}Ini Tantangannya: Kalahkan beberapa Vubbe di 1st Floor of the Crystal Mine.	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}
QUEST_JOBSTEP_20150317_000006	Bagaimana kamu bisa menjadi Peltasta jika tidak mampu melakukan hal itu? 	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?
QUEST_JOBSTEP_20150317_000007	Bagus. {nl}Semoga perkembangan kamu yang baru ini dapat membawamu untuk menyelamatkan dunia. 	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.
QUEST_JOBSTEP_20150317_000008	Highlander Master	하이랜더 마스터
QUEST_JOBSTEP_20150317_000009	Aku sangat bersyukur kamu ingin menjadi penerus dari keahlian pedangku, tapi sepertinya kamu belum mampu belajar dariku.{nl}Aku ingin mengujimu dengan mengalahkan Vubbe yang berada di 1st floor of the Crystal Mine.	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.
QUEST_JOBSTEP_20150317_000010	Cepatlah. {nl} Itu hanya tantangan yang simpel, tapi Vubbe memang ancaman bagi Miner's Village.	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.
QUEST_JOBSTEP_20150317_000011	Boleh juga, Aku akan mengijinkanmu belajar menjadi Highlander. {nl} Teruskanlah kerja keras dan dedikasimu.	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.
QUEST_JOBSTEP_20150317_000012	Pyromancer Master	파이로맨서 마스터
