QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20150317_000002	Jika kamu memilih pergi ke Klaipeda. Saya sarankan untuk lewat Shadow Forest Road {nl} sangat berbahaya berada didalam Hutan, usahakan menjauh dari hutan sebisa mungkin.	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.
QUEST_LV_0100_20150317_000003	Laki-laki yang bersembunyi	숨어있는 남자
QUEST_LV_0100_20150317_000004	Akh… Akhirnya! Bala bantuan tiba? {nl} Huh!? Hanya seorang anak muda? Hey, apa Vubbes masih berada diluar sana?	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?
QUEST_LV_0100_20150317_000005	Ugh…Menjauh dariku! Jangan berbicara padaku! Kita akan tertangkap oleh Vubbes! {nl} Ini tempatku, jadi pergilah dari sini!	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!
QUEST_LV_0100_20150317_000006	Apa! Jangan berbohong kepadaku! Aroma Vubbes sangat menyengat dihidungku!{nl}Kamu tidak bisa membodohiku! Enyahlah! Jangan mendekat disekitar barrel ini!	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!
QUEST_LV_0100_20150317_000007	Akh… Akhirnya! Bala bantuan tiba? {nl} Huh!? Hanya seorang anak muda? Apa yang kamu lihat? Tutup pintunya dan pergilah! {nl} 	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}
QUEST_LV_0100_20150317_000008	Tetapi kertas yang kamu pegang…..terlihat tidak asing!? {nl} coba ku lihat! Apa yang kamu lakukan? Hey, orang dewasa sedang berbicara kepadamu!	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!
QUEST_LV_0100_20150317_000009	Ini!! Punyaku?! Aku tak akan pernah memberikannya lagi!! {nl} in bukanlah sesuatu yang kamu butuhkan. Aku akan merobeknya menjadi beberapa bagian!	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!
QUEST_LV_0100_20150317_000010	Shhh, itu sangat memalukan…	쳇, 싱겁긴..
QUEST_LV_0100_20150317_000011	Ini adalah tanda awal setelah para Goddess  menghilang.{nl}Mungkin, dari sekian banyak orang, ada satu orang yang mampu membawa kembali Goddess .	여신들께서 전부 사라지시고 난 뒤에 처음으로 나타난 징후 아닙니까.{nl}어쩌면 그 많은 사람중에 누군가가 여신을 돌아오게 할지도 모르잖습니까?
QUEST_LV_0100_20150317_000012	Soldier Blak	병사 블락
QUEST_LV_0100_20150317_000013	Waspadalah!{nl}Para monster menyerang, sehingga semua penduduk harus dievakuasi{nl} Namun bagaimana bisa para penduduk berada di dalam Military zone? {nl}	경고합니다! {nl}몬스터가 습격 중이니 민간인은 빨리 도망치세요!  {nl}아니, 근데 왜 군사 지역에 민간인이 들어온 거죠?{nl}
