QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.
QUEST_UNUSED_20150317_000002	Catatan perjalanan panjang Hashipusho.	먼 길 조심하십쇼.
QUEST_UNUSED_20150317_000003	Jadi. Korezo. Pardoner tidak mengijinkan kamu untuk memperkenalkan diri. Suara silver jatuh untuk donasi ini telah dibeli {nl} pengampunan dosa yang membimbing keselamatan kita. {nl} Juga kekayaan, harap dicatat itu adalah blessing dari Goddess.	그래. 이거야. 파드너로 입문을 허락하지.{nl}면죄부를 산 은화 한 닢이 헌금함에 떨어지는 소리가 우릴 구원으로 이끌지.{nl}재물 또한 여신의 커다란 축복이라는 것을 명심하게.
QUEST_UNUSED_20150317_000004	Pardoner dilihat kembali ke Master Te. {nl} Jika punya fire pot yang dicari-cari selama ini.	어서 파드너 마스터께 돌아가 보게.{nl}그 불항아리를 아주 오랫동안 찾고 계셨거든.
QUEST_UNUSED_20150317_000005	Gatekeeper Owl Image	문지기 부엉이 조각상
QUEST_UNUSED_20150317_000006	Atau Tesla-sepertinya telah menciptakan kita dengan memotong pohon. {nl} Jadi, kami owl, kamu selalu mengatakan ingin membalas budi. {nl}	테슬라님은 나무를 깎아서 우릴 만드셨어요.{nl}그래서 우리 부엉이들은 항상 은혜를 갚고 싶어 한답니다.{nl}
QUEST_UNUSED_20150317_000007	Jadi aku ini apa. Kamu mungkin bertanya. Apakah kamu ingin Tesla electrolysis mengumpulkan sculpture of marble dari {nl} Cathedral?	그래서 말인데요. 부탁드릴 것이 있어요.{nl}대성당에서 대리석 조각을 모아서 테슬라님께 전해 주실 수 있을까요?
QUEST_UNUSED_20150317_000008	Jika marble of the cathedral, tapi itu seperti yang Tesla suka?	대성당의 대리석이라면 테슬라님께서 좋아하시겠지요?
QUEST_UNUSED_20150317_000009	Jika itu adalah sebuah hadiah dari Owl Image {nl} seorang bati, tapi sebuah bukti untuk hidupku. {nl}	부엉이 조각상들의 선물인가?{nl}그 귀여운 녀석들은 내 삶에 대한 증거이지. {nl}
QUEST_UNUSED_20150317_000010	Ngomong-ngomong .. Apa yang membuat pengunjung senang hari ini, Aku akan menggambar Hey.	어쨌든.. 오늘 어쩐지 반가운 손님이 오실 것 같더라니, 고맙네그려.
QUEST_UNUSED_20150317_000011	Ketika aku pertama kali melihat di Klaipeda, aku dianggap lemah apakah aku bisa mengangkat pedangnya. {nl} Tapi, sekarang aku menjadi seorang pahlawan dan banyak orang yang memujiku.	자네를 클라페다에서 처음 봤을 땐 그 가녀린 팔로 검이나 휘두를 수 있을까 싶었었지.{nl}허나 지금은 많은 이들이 칭송하는 용사 중의 용사가 되었구나.{nl}
QUEST_UNUSED_20150317_000012	Namun, Aku ingin memastikan keberanianmu secara langsung. Banshee {nl} menutupi aura jahat dark forest. Bagi Kamu bukan tantangan yang sulit.	하지만 난 자네의 용기를 직접 확인하고 싶어.{nl}이 어두운 숲을 사악한 기운으로 뒤덮는 밴시.. 자네에겐 적당한 도전이 아닌가 싶군.
QUEST_UNUSED_20150317_000013	Isolasi. Hanya sekedar berburu. Di dalam {nl}, Itogetone sedang menunggu di Klaipeda.	별거 아닐세. 그저 사냥일 뿐이지.{nl}그럼, 클라페다에서 기다리고 있겠네.
QUEST_UNUSED_20150317_000014	Sudah. Sedang menunggu. {nl} Akan diberikan sebuah hadiah yang sesuai dengan kotak pada level ini.	왔군. 기다리고 있었네.{nl}이 정도면 자네의 용기에 걸맞은 보상일 거야.
