SKILL_20150317_000001	Attack	공격
SKILL_20150317_000002	[Elite Kepa] 1 kali, Physical, Poison element, Strike	[엘리트케파] 1회, 물리, 독속성, 떄리기
SKILL_20150317_000003	[Rafflesia] Spread Poison	[라플레시아] 주변으로 독 날리기
SKILL_20150317_000004	[Rafflesia] Poison Bomb	[라플레시아] 독 포탄 날리기
SKILL_20150317_000005	[Raffly] Physical, Strike, Elemen Poison, Attack 1 kali	[라플리] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000006	[Raffly] Physical, Strike, Elemen Poison, Jump Attack 1 kali	[라플리] 물리, 타격, 독속성, 1회 점프해서 덮치는 공격
SKILL_20150317_000007	[Puragi] Physical, Strike, Elemen Poison, Normal attack 1 kali	[푸라기] 물리, 떄리기, 독속성, 1회 일반 공격, 전방 부채꼴
SKILL_20150317_000008	[Puragi] Physical, Elemen Poison, Attack 1 kali	[푸라기] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000009	[Puragi] Physical, Elemen Poison, Stomp 1 kali	[푸라기] 물리, 타격, 독속성, 1회 내려치기
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE	[지그리] 일반 공격, 전방 부채꼴
SKILL_20150317_000011	[Zigri] Spinning Strike	[지그리] 회전공격 가하기
SKILL_20150317_000012	[Zigri] Jump and Somping Shock	[지그리] 점프해서 충격파 보내기
SKILL_20150317_000013	[Fisherman] Physical, Strike, Elemen Ice, Strike dengan Fishing Rod	[피셔맨] 물리, 타격, 수속성, 1회 낚시대로 내려치기
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill	[피셔맨] 매직, 버프, 매직, ] 버프 스킬
SKILL_20150317_000015	[Pokuborn] Physical, Pierce, Elemen Lightning, Horn Attack 1 kali	[초록 포쿠본] 물리, 찌르기, 뇌속성, 1회 뿔로 들이받기
SKILL_20150317_000016	[Bushspider] Physical, Strike, Elemen Earth, Attack 1 kali	[크루마보] 물리, 타격, 땅속성, 1회 공격
SKILL_20150317_000017	[Fragaras] Quick bite	[프라가라스] 빠르게 물어뜯기
SKILL_20150317_000018	[Fragaras] Large Chomp	[프라가라스] 크게 물어뜯기
SKILL_20150317_000019	[Fragaras] Normal Attack, Conical AoE	[프라가라스] 일반 공격, 전방 부채꼴
SKILL_20150317_000020	Basic Normal Attack	베이직 일반 공격
SKILL_20150317_000021	[Meduja] Magic, Magic, Elemen Lightning Attack 1 kali	[미듀쟈] 매직, 매직, 뇌속성 1회 공격
SKILL_20150317_000022	[Gribaru] Physical, Slash, Elemen Lightning Attack 1 kali	[그리바루] 물리, 베기, 뇌속성 1회 공격
SKILL_20150317_000023	[Gribaru] Physical, Slash, Knock-back  Elemen Lightning Attack 1 kali	[그리바루] 물리, 베기, 뇌속성 1회 넉백 공격
SKILL_20150317_000024	[Bite] Physical, Pierce, Elemen Poison Attack 1 kali,	[바이트] 물리, 찌르기, 독속성 1회 공격
SKILL_20150317_000025	[Banshee] Magic, Magic, Elemen Ice, Breath Attack 1 kali	[밴시] 매직, 매직, 얼음속성, 1회 입김으로 타격
